,Liquid. corrente,Dívida líq./Ebitda,CAPEX/FCO,FCL/RL,ROA,ROIC,Margem Ebitda,Margem bruta,PL/AT,RL/AT,Div. Payout,Intan/AT
IGTA,2.0,2.961050859208637,0.035,-0.25,0.045,0.09,0.7949999999999999,0.63,0.22978547495757362,0.11618474681983668,0.42,0.018307152285221125
CVCB,0.985,6.0,0.315,0.5,-0.1,-0.1,-0.25,0.875,0.06350795944311663,0.1851009757338714,0.0,0.2420791888805392
ENEV,2.0,2.9021986545297054,1.145,-0.07485301462427446,0.05,0.08,0.475,0.42500000000000004,0.4933453226514556,0.21312440039732394,0.0,0.09105930613375873
ALUP,2.0,1.9130245473514749,0.0,-0.1909791423123631,0.08499999999999999,0.165,0.56,0.55,0.3927273845604879,0.25452505188593827,0.29500000000000004,0.009135045830612084
SMTO,2.0,2.1948438002724355,0.30500000000000005,0.2019713246793437,0.065,0.14500000000000002,0.54,0.33,0.28600795678304874,0.3189848057601632,0.28,0.037523945779893694
TOTS,2.0,0.0,0.195,0.07078543272262727,0.06,0.135,0.22499999999999998,0.685,0.6035070976977215,0.5750070226610691,0.295,0.26866887177308035
GOAU,2.0,1.4814722482816314,0.7449999999999999,0.02706503087226625,0.03,0.085,0.15000000000000002,0.125,0.5037462822387896,0.7050069850550703,0.25,0.19207303552628247
LCAM,1.355,2.0226200630280395,0.0,-0.16194721031217246,0.03,0.1,0.28500000000000003,0.265,0.32138364326494023,0.41040926323234295,0.29000000000000004,0.08106763791490004
GRND,2.0,0.0,0.365,0.1727067276250084,0.105,0.115,0.21,0.46,0.9054083856162365,0.4575789770095583,0.425,0.007787275253694893
FLRY,1.845,0.9417220303310158,0.28500000000000003,0.056263328063419715,0.055,0.125,0.29000000000000004,0.29000000000000004,0.3309166164272085,0.5539936141171882,0.925,0.5162496045507996
VVAR,2.0,6.0,0.0,-0.13317195629990597,-0.015,0.0,0.04,0.31,0.10227006314548177,0.9623527278565922,0.0,0.05049025084906884
QUAL,2.0,0.7390920096223288,0.295,0.25533748759576685,0.105,0.22,0.485,0.815,0.40216326848541656,0.5261020475038073,0.53,0.5972080836513952
ECOR,0.635,4.9353682579589275,0.735,0.022023724554620438,-0.03,0.08499999999999999,0.345,0.395,0.022234736382216024,0.35144963729798306,0.0,0.7094992888139082
LINX,2.0,0.0,0.815,-0.20883272231622485,0.01,0.035,0.165,0.66,0.661319612240385,0.3139634909479919,0.0,0.41883519000707403
BKBR,1.63,6.0,0.0,-0.1600771685317469,-0.05,-0.04,0.015,0.605,0.486841209864753,0.6909088576088285,0.26,0.38416299887198013
HGTX,2.0,0.0,0.305,0.10255722207815883,0.135,0.095,0.165,0.41500000000000004,0.7402863318655699,0.6569377781553375,0.5,0.04634050224884018
AESB,0.945,2.175164660458778,0.28500000000000003,0.09919867279499114,0.06,0.20500000000000002,0.77,0.645,0.18482459713915494,0.23158912940424203,0.79,0.07596717965789872
COCE,0.945,2.5599129014697874,1.08,-0.010902971354454019,0.04,0.060000000000000005,0.15000000000000002,0.135,0.3521413428544219,0.623514363262416,0.35,0.21858099195356812
ARZZ,1.915,0.21098265895953758,0.245,0.011223924093781486,0.06999999999999999,0.135,0.145,0.46499999999999997,0.5019717034318136,0.8748463120899157,0.855,0.1729022724819173
EZTC,2.0,0.0,0.02,-0.25,0.08,0.07,0.28500000000000003,0.42,0.8840042855229677,0.1932717289406723,0.12,0.00011695906432748539
MRFG,2.0,2.351194982156375,0.275,0.0590029139197088,0.08,0.24,0.115,0.15000000000000002,0.07259931910511998,1.6262575796771221,0.795,0.20770316894223778
TRPL,2.0,0.35620316981403766,0.015,0.3882963386840089,0.11000000000000001,0.16,0.965,0.7,0.6057433046943697,0.15165456074423073,0.365,0.0010666940621693762
LIGT,2.0,3.2800996065205172,1.145,-0.014602141315115337,0.045,0.08,0.16,0.245,0.2646766935267375,0.5283970673589338,0.015,0.11436498326312632
MOVI,0.92,2.7021790511327604,0.0,-0.24631414940338456,0.02,0.08,0.225,0.22999999999999998,0.2974691660834421,0.5050815569103385,0.445,0.015610586874924112
POMO,1.865,2.765045863487385,0.525,0.06268987826993648,0.03,0.05500000000000001,0.07500000000000001,0.16,0.4494766681848563,0.7215955089188715,0.5700000000000001,0.057166496116786245
ENAT,2.0,0.0,0.38,0.5,0.04,0.10500000000000001,0.555,0.32,0.6350870107835328,0.2308104026685273,1.0,0.08859929374710457
MYPK,2.0,5.826195942233734,1.25,-0.0060318558799072166,0.010000000000000002,0.034999999999999996,0.075,0.09,0.3396239078237048,0.8870994053662073,0.065,0.18219650310208685
SEER,2.0,0.0,0.265,0.19184313725490199,0.05,0.125,0.35,0.545,0.48623826766283995,0.45132068558910393,1.0,0.225237864242758
CAML,1.96,2.5344063391846428,0.275,0.07614924440169502,0.055,0.095,0.08,0.23,0.43837092941849887,1.0618690479515798,0.22499999999999998,0.12305529654995676
UNIP,2.0,0.14027538726333907,0.235,0.24091203956278992,0.065,0.185,0.215,0.31,0.39231450584771177,0.8389128788077665,0.22,0.07328570855804492
RAPT,2.0,1.1401413976790862,0.495,0.0601102129909058,0.07,0.155,0.175,0.25,0.3201848679042344,0.7009468294482191,0.32,0.04433229201568875
LEVE,1.71,0.28458049886621317,0.195,0.13533275582567444,0.075,0.135,0.14500000000000002,0.255,0.5182770001715262,0.9723011202079463,0.615,0.17069484431378118
BEEF,1.615,2.9728380409101085,0.125,0.11744891794653023,0.02,0.21000000000000002,0.10500000000000001,0.195,0.014200898724433,1.2203049450393775,0.1,0.048885209633622244
TUPY,2.0,1.1761847952672744,0.45499999999999996,0.04870884977772536,0.02,0.07500000000000001,0.13,0.16,0.44174077192831906,0.8519979975105842,0.29,0.033600169102511596
WSON,1.47,3.387635601577909,0.645,0.09438253835598065,0.025,0.08,0.33999999999999997,0.475,0.423008736815482,0.3406909628760676,1.0,0.030270495523910194
PARD,1.56,0.40302878848460616,0.32499999999999996,0.028762500111309985,0.085,0.15500000000000003,0.22,0.28500000000000003,0.4005428761182951,0.795688088447865,0.32999999999999996,0.30795765128726027
TEND,2.0,0.0,0.615,-0.07033438953684353,0.065,0.105,0.15000000000000002,0.32,0.3733992868161996,0.5496914098113543,0.22999999999999998,0.005641490746366884
SSBR,2.0,0.0,0.055,-0.02284981871790412,0.015,0.03,0.565,0.6950000000000001,0.6944018519034146,0.0706671064073157,0.735,0.029046566102396844
PRIO,0.86,1.0103952273007502,0.275,0.004585045697110934,0.095,0.18,0.8999999999999999,0.36,0.40331187768081533,0.2900828280237427,0.0,0.14487992331796729
CNTO,1.605,3.8502994011976046,0.0,-0.23084732504037875,0.03,0.06999999999999999,0.035,0.46499999999999997,0.3059229745582278,0.5177959425249401,0.0,0.03949871801077543
CLSC,2.0,1.1858333022004706,1.25,0.001819706981448621,0.04,0.07,0.095,0.13,0.16706531873026786,0.8371367076475007,0.13,0.35152148889535456
FESA,2.0,0.8642244562809005,0.325,-0.009260375081102393,0.055,0.09,0.235,0.23500000000000001,0.6490101069332201,0.5207791188706793,0.595,0.004137428023231131
TGMA,2.0,0.28171641791044777,0.145,0.1476942612921116,0.135,0.21500000000000002,0.165,0.20500000000000002,0.5964590692749923,1.176933733091895,0.41000000000000003,0.16964803435548825
SCAR,2.0,4.082639347873981,1.25,0.34776144257303265,0.03,0.08,0.7350000000000001,0.77,0.5031772775779177,0.11804481996105481,0.015,0.0048136352134833926
OFSA,2.0,1.814437984496124,0.48,0.06512049925863633,0.07,0.11,0.16999999999999998,0.505,0.5369371324361742,0.6870721862229487,0.22,0.08660134980756531
EVEN,2.0,1.2950819672131149,0.005,0.20313701113506555,0.02,0.05500000000000001,0.135,0.27,0.4280041902902635,0.3532703812746956,0.265,0.00010034115994380894
WIZS,0.705,0.0,0.0,0.2082636149680987,0.2,0.25,0.0,0.74,0.32240790867364955,1.0005982503628732,0.75,0.4354941672818571
DIRR,2.0,0.588174738904478,0.07,0.1594170096021948,0.03,0.05,0.16999999999999998,0.345,0.2783265573026919,0.3036694440543396,0.93,0.002124321199943353
SLCE,2.0,1.1842480785760183,0.28500000000000003,0.14058002772228792,0.055,0.12,0.225,0.27,0.39786173086955784,0.44391637987196675,0.45999999999999996,0.003115385759662176
VULC,2.0,0.32142857142857145,1.25,-0.05811974453600256,0.065,0.07,0.13,0.32499999999999996,0.7361278568116235,0.852577861097253,0.0,0.14053941790162394
JHSF,1.945,0.838294940169408,1.25,-0.25,0.075,0.125,0.86,0.59,0.5244808650194233,0.13481511389921486,0.14,0.015895928938675828
